Salaires , Age
31,7810
49,6807
18,7090
4,2925
59,1517
5,4750
20,231
41,1147
6,8176
2,7124
37,8855
25,4512
27,8345
62,4850
16,8262
58,3353
13,3995
9,1518
34,6464
47,7672
46,8116
37,8407
29,3841
39,1090
18,1270
18,529
10,212
19,2175
59,6030
37,1204
19,2319
17,2670
35,8325
17,8341
11,1298
37,4587
25,956
60,443
37,6673
48,7650
11,7643
19,2365
57,4653
2,2317
56,7748
11,4321
5,8504
10,797
7,8563
51,8832
61,3717
59,4608
42,382
29,650
11,2481
28,7409
35,3728
48,781
26,8530
28,7490
42,409
3,2286
1,3432
24,304
50,1473
24,5594
53,4047
31,2330
49,3425
6,8188
22,4091
62,2850
9,5963
12,1618
26,1403
32,8548
57,8096
49,4700
38,638
20,4798
18,6031
28,4382
2,7767
27,6501
25,5080
14,8231
54,1792
32,4132
1,298
52,6494
58,774
35,4725
58,7951
58,1379
3,1757
8,854
32,8239
54,7081
24,4630
55,6309
52,5709
23,8420
21,6312
34,2271
17,1346
16,3997
47,2313
18,6238
47,3518
6,6466
24,7811
49,3655
41,2213
13,2223
16,7920
36,2509
54,132
43,2751
22,2829
45,8270
30,5317
21,5130
60,2443
9,6047
1,1882
55,5512
31,6059
26,1721
13,7390
60,1979
34,8066
2,1031
55,6238
25,863
45,7370
1,2445
37,1401
50,2871
41,8712
24,5332
23,5873
57,5782
48,8054
60,954
48,3992
4,5490
23,5289
44,230
36,4083
59,2568
28,7542
30,3107
29,1535
61,2681
40,6815
28,8130
38,7962
9,7322
38,958
41,3362
34,4811
42,8671
60,1114
43,2929
59,3506
7,2174
7,5645
12,943
58,4018
33,3820
33,4417
8,7384
35,8118
15,6050
42,3474
59,5011
57,764
6,2654
57,6612
30,4288
52,4431
58,355
55,8429
50,3845
27,2211
1,7128
35,4920
5,2457
43,6666
46,6616
54,8330
28,8745
33,7156
3,910
57,604
19,4474
55,5598
25,1312
45,3523
19,839
13,7182
40,299
1,4624
3,8060
13,3298
50,4981
62,2674
7,2738
29,1512
1,1600
52,2498
25,6056
61,3868
11,8582
36,7111
31,873
9,8641
37,5227
27,8844
21,5639
10,6688
39,7461
22,8536
31,7221
2,6632
57,5313
6,6092
54,602
62,6356
0,6135
38,383
30,8490
0,3213
56,4942
1,216
10,1880
56,5762
19,1699
57,5391
13,6928
30,2897
58,3630
39,1300
36,2298
8,6452
60,424
14,8428
57,3167
28,5508
46,3819
18,6055
20,2970
31,4967
30,8597
20,6283
39,5129
33,3606
39,5274
53,8149
39,8471
42,8257
45,3218
31,5607
25,6845
20,1926
7,2981
49,2208
27,6978
44,3402
21,6069
43,7166
34,7874
36,4073
18,6391
30,2906
49,7136
4,6008
28,4192
5,7862
34,3811
62,2957
13,2166
47,4955
46,996
42,2342
32,4972
1,797
16,5226
63,4736
22,7309
21,7764
27,441
35,3028
50,8898
40,414
14,2182
38,2619
59,5796
22,8308
